Trial,Bleu,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,0.0,,,,,,,,
,,,,,,,,,
2,0.0,,,,,,,,
,,,,,,,,,
3,0.047300949692726100,,,,,,,,
,,,,,,,,,
4,0.0,,,,,,,,
,,,,,,,,,
5,0.0,,,,,,,,
,,,,,,,,,
6,0.0,,,,,,,,
,,,,,,,,,
7,0.025218157097697300,,,,,,,,
,,,,,,,,,
8,0.013013919815421100,,,,,,,,
,,,,,,,,,
9,0.010228211060166400,,,,,,,,
,,,,,,,,,
10,0.0,,,,,,,,
,,,,,,,,,
11,0.0,,,,,,,,
,,,,,,,,,
12,0.0,,,,,,,,
,,,,,,,,,
13,0.0,,,,,,,,
,,,,,,,,,
14,0.0,,,,,,,,
,,,,,,,,,
15,0.0,,,,,,,,
,,,,,,,,,
16,0.04248420149087910,,,,,,,,
,,,,,,,,,
17,0.04730246588587760,,,,,,,,
,,,,,,,,,
18,0.0,,,,,,,,
,,,,,,,,,
19,0.023227035999298100,,,,,,,,
,,,,,,,,,
20,0.019637269899249100,,,,,,,,
,,,,,,,,,
21,0.0,,,,,,,,
,,,,,,,,,
22,0.03274092078208920,,,,,,,,
,,,,,,,,,
23,0.03741275146603580,,,,,,,,
,,,,,,,,,
24,0.0,,,,,,,,
,,,,,,,,,
25,0.0,,,,,,,,
,,,,,,,,,
26,0.0,,,,,,,,
,,,,,,,,,
27,0.0,,,,,,,,
,,,,,,,,,
28,0.03243429213762280,,,,,,,,
,,,,,,,,,
29,0.0,,,,,,,,
,,,,,,,,,
30,0.0,,,,,,,,
,,,,,,,,,
31,0.0,,,,,,,,
,,,,,,,,,
32,0.0,,,,,,,,
,,,,,,,,,
33,0.0,,,,,,,,
,,,,,,,,,
34,0.0,,,,,,,,
,,,,,,,,,
35,0.0,,,,,,,,
,,,,,,,,,
36,0.0,,,,,,,,
,,,,,,,,,
37,0.04755062237381940,,,,,,,,
,,,,,,,,,
38,0.0,,,,,,,,
,,,,,,,,,
39,0.0313955657184124,,,,,,,,
,,,,,,,,,
40,0.0,,,,,,,,
,,,,,,,,,
41,0.0,,,,,,,,
,,,,,,,,,
42,0.0,,,,,,,,
,,,,,,,,,
43,0.0,,,,,,,,
,,,,,,,,,
44,0.0,,,,,,,,
,,,,,,,,,
45,0.05854186415672300,,,,,,,,
,,,,,,,,,
46,0.0,,,,,,,,
,,,,,,,,,
47,0.0,,,,,,,,
,,,,,,,,,
48,0.024964410811662700,,,,,,,,
,,,,,,,,,
49,0.04561823979020120,,,,,,,,
,,,,,,,,,
50,0.0,,,,,,,,
,,,,,,,,,
51,0.0,,,,,,,,
,,,,,,,,,
52,0.0,,,,,,,,
,,,,,,,,,
53,0.0,,,,,,,,
,,,,,,,,,
54,0.0522819384932518,,,,,,,,
,,,,,,,,,
55,0.0,,,,,,,,
,,,,,,,,,
56,0.0,,,,,,,,
,,,,,,,,,
57,0.0,,,,,,,,
,,,,,,,,,
58,0.0,,,,,,,,
,,,,,,,,,
59,0.0,,,,,,,,
,,,,,,,,,
60,0.0,,,,,,,,
,,,,,,,,,
61,0.06224006786942480,,,,,,,,
,,,,,,,,,
