Trial,Bleu,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,0.0,,,,,,,,
,,,,,,,,,
2,0.0,,,,,,,,
,,,,,,,,,
3,0.0,,,,,,,,
,,,,,,,,,
4,0.05371392145752910,,,,,,,,
,,,,,,,,,
5,0.0,,,,,,,,
,,,,,,,,,
6,0.0,,,,,,,,
,,,,,,,,,
7,0.03273613378405570,,,,,,,,
,,,,,,,,,
8,0.010817141272127600,,,,,,,,
,,,,,,,,,
9,0.02289004623889920,,,,,,,,
,,,,,,,,,
10,0.0,,,,,,,,
,,,,,,,,,
11,0.02269413322210310,,,,,,,,
,,,,,,,,,
12,0.0,,,,,,,,
,,,,,,,,,
13,0.0,,,,,,,,
,,,,,,,,,
14,0.0,,,,,,,,
,,,,,,,,,
15,0.0,,,,,,,,
,,,,,,,,,
16,0.040492601692676500,,,,,,,,
,,,,,,,,,
17,0.037090107798576400,,,,,,,,
,,,,,,,,,
18,0.0,,,,,,,,
,,,,,,,,,
19,0.03245021030306820,,,,,,,,
,,,,,,,,,
20,0.014439479447901200,,,,,,,,
,,,,,,,,,
21,0.0,,,,,,,,
,,,,,,,,,
22,0.045859258621931100,,,,,,,,
,,,,,,,,,
23,0.011155303567647900,,,,,,,,
,,,,,,,,,
24,0.0,,,,,,,,
,,,,,,,,,
25,0.0,,,,,,,,
,,,,,,,,,
26,0.0,,,,,,,,
,,,,,,,,,
27,0.0,,,,,,,,
,,,,,,,,,
28,0.050081949681043600,,,,,,,,
,,,,,,,,,
29,0.0,,,,,,,,
,,,,,,,,,
30,0.0,,,,,,,,
,,,,,,,,,
31,0.0,,,,,,,,
,,,,,,,,,
32,0.0,,,,,,,,
,,,,,,,,,
33,0.0,,,,,,,,
,,,,,,,,,
34,0.0,,,,,,,,
,,,,,,,,,
35,0.0,,,,,,,,
,,,,,,,,,
36,0.0,,,,,,,,
,,,,,,,,,
37,0.036916617304086700,,,,,,,,
,,,,,,,,,
38,0.0,,,,,,,,
,,,,,,,,,
39,0.0,,,,,,,,
,,,,,,,,,
40,0.0,,,,,,,,
,,,,,,,,,
41,0.0,,,,,,,,
,,,,,,,,,
42,0.0,,,,,,,,
,,,,,,,,,
43,0.0,,,,,,,,
,,,,,,,,,
44,0.0,,,,,,,,
,,,,,,,,,
45,0.012697161175310600,,,,,,,,
,,,,,,,,,
46,0.0,,,,,,,,
,,,,,,,,,
47,0.0,,,,,,,,
,,,,,,,,,
48,0.0,,,,,,,,
,,,,,,,,,
49,0.04558508098125460,,,,,,,,
,,,,,,,,,
50,0.0,,,,,,,,
,,,,,,,,,
51,0.0,,,,,,,,
,,,,,,,,,
52,0.0,,,,,,,,
,,,,,,,,,
53,0.0,,,,,,,,
,,,,,,,,,
54,0.04154396057128910,,,,,,,,
,,,,,,,,,
55,0.0,,,,,,,,
,,,,,,,,,
56,0.0,,,,,,,,
,,,,,,,,,
57,0.0,,,,,,,,
,,,,,,,,,
58,0.0,,,,,,,,
,,,,,,,,,
59,0.0,,,,,,,,
,,,,,,,,,
60,0.0,,,,,,,,
,,,,,,,,,
61,0.04848424345254900,,,,,,,,
,,,,,,,,,
62,0.0,,,,,,,,
