Trial,Bleu,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,0.01355357002466920,,,,,,,,
,,,,,,,,,
2,0.0,,,,,,,,
,,,,,,,,,
3,0.0,,,,,,,,
,,,,,,,,,
4,0.04081873223185540,,,,,,,,
,,,,,,,,,
5,0.0,,,,,,,,
,,,,,,,,,
6,0.009465633891522880,,,,,,,,
,,,,,,,,,
7,0.0,,,,,,,,
,,,,,,,,,
8,0.0,,,,,,,,
,,,,,,,,,
9,0.0,,,,,,,,
,,,,,,,,,
10,0.0,,,,,,,,
,,,,,,,,,
11,0.0,,,,,,,,
,,,,,,,,,
12,0.0,,,,,,,,
,,,,,,,,,
13,0.039280448108911500,,,,,,,,
,,,,,,,,,
14,0.0,,,,,,,,
,,,,,,,,,
15,0.0,,,,,,,,
,,,,,,,,,
16,0.0,,,,,,,,
,,,,,,,,,
17,0.0,,,,,,,,
,,,,,,,,,
18,0.0,,,,,,,,
,,,,,,,,,
19,0.0,,,,,,,,
,,,,,,,,,
20,0.0,,,,,,,,
,,,,,,,,,
21,0.0,,,,,,,,
,,,,,,,,,
22,0.0,,,,,,,,
,,,,,,,,,
23,0.0,,,,,,,,
,,,,,,,,,
24,0.025207120925188100,,,,,,,,
,,,,,,,,,
25,0.0,,,,,,,,
,,,,,,,,,
26,0.05096583813428880,,,,,,,,
,,,,,,,,,
27,0.012775455601513400,,,,,,,,
,,,,,,,,,
28,0.0,,,,,,,,
,,,,,,,,,
29,0.0,,,,,,,,
,,,,,,,,,
30,0.0,,,,,,,,
,,,,,,,,,
31,0.0,,,,,,,,
,,,,,,,,,
32,0.0,,,,,,,,
,,,,,,,,,
33,0.0,,,,,,,,
,,,,,,,,,
34,0.0,,,,,,,,
,,,,,,,,,
35,0.0,,,,,,,,
,,,,,,,,,
36,0.0,,,,,,,,
,,,,,,,,,
37,0.0,,,,,,,,
,,,,,,,,,
38,0.0,,,,,,,,
,,,,,,,,,
39,0.037293486297130600,,,,,,,,
,,,,,,,,,
40,0.0,,,,,,,,
,,,,,,,,,
41,0.0,,,,,,,,
,,,,,,,,,
42,0.0,,,,,,,,
,,,,,,,,,
43,0.0,,,,,,,,
,,,,,,,,,
44,0.0,,,,,,,,
,,,,,,,,,
45,0.0,,,,,,,,
,,,,,,,,,
46,0.0,,,,,,,,
,,,,,,,,,
47,0.0,,,,,,,,
,,,,,,,,,
48,0.0,,,,,,,,
,,,,,,,,,
49,0.0,,,,,,,,
,,,,,,,,,
50,0.0,,,,,,,,
,,,,,,,,,
51,0.0,,,,,,,,
,,,,,,,,,
52,0.0,,,,,,,,
,,,,,,,,,
53,0.0,,,,,,,,
,,,,,,,,,
54,0.0,,,,,,,,
,,,,,,,,,
55,0.0,,,,,,,,
,,,,,,,,,
56,0.0,,,,,,,,
,,,,,,,,,
57,0.03422866761684420,,,,,,,,
,,,,,,,,,
58,0.0,,,,,,,,
,,,,,,,,,
59,0.04144259914755820,,,,,,,,
,,,,,,,,,
60,0.009516492486000060,,,,,,,,
,,,,,,,,,
61,0.0,,,,,,,,
,,,,,,,,,
62,0.0,,,,,,,,
,,,,,,,,,
63,0.0,,,,,,,,
